Account number,Organization,Country/Area,Request response status,Access type,Samples,Response received date,Activities,Sectors,Industries,Primary activity,Primary sector,Primary industry,Primary questionnaire sector,Primary Ticker,Tickers,Symbol_1,Year,Market_Cap,Employee_Count,ebitda,Revenue,grossProfit,netIncome,reportedCurrency,cashAndCashEquivalents,shortTermInvestments,longTermInvestments,totalAssets,totalLiabilities,totalInvestments,totalDebt,totalEquity
4212,"Dai Nippon Printing Co., Ltd.",Japan,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Japan, MSCI ACWI, TSE Prime Segment",44768.1736458333," Electronic components, Non-alcoholic beverages, Plastic products, Printing services"," Electrical & electronic equipment, Food & beverage processing, Plastic product manufacturing, Print & publishing services"," Food, beverage & agriculture, Manufacturing, Services",Printing services,Print & publishing services,Services,General,7912 JP, 7912 JP,7912.T,2022,704967575000,,136641000000,1373209000000,291925000000,85692000000,JPY,246438000000,22800000000,552849000000,1830384000000,682141000000,341215000000,153137000000,1148243000000
4223,"Dai-ichi Life Holdings, Inc.",Japan,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Japan, MSCI ACWI, TSE Prime Segment",44774.2114930556," Asset managers, Insurance", Financial services, Services,Insurance,Financial services,Services,Financial services,8750 JP, 8750 JP,8750.T,2022,3054807220842,,247678000000,8421751000000,8421751000000,192301000000,JPY,1619087000000,314807000000,46711704000000,61578872000000,58705760000000,46711704000000,949674000000,2873112000000
4226,"Daikin Industries, Ltd.",Japan,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, FTSE All-World, Global 500, Japan, MSCI ACWI, TSE Prime Segment",44771.3290740741," Electrical equipment, Industrial machinery, Inorganic base chemicals"," Chemicals, Electrical & electronic equipment, Powered machinery"," Manufacturing, Materials",Electrical equipment,Electrical & electronic equipment,Manufacturing,Capital goods,6367 JP, 6367 JP,6367.T,2022,5912970845800,,568761000000,3981578000000,1331476000000,257754000000,JPY,617663000000,-105843000000,275445000000,4303682000000,2024589000000,169602000000,887628000000,2279093000000
4230,"Daiichi Sankyo Co., Ltd.",Japan,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, FTSE All-World, Global 500, Japan, MSCI ACWI, TSE Prime Segment",44768.1083333333," Health care services, Pharmaceuticals"," Biotech & pharma, Other services"," Biotech, health care & pharma, Services",Pharmaceuticals,Biotech & pharma,"Biotech, health care & pharma",General,4568 JP, 4568 JP,4568.T,2022,8147785500000,,203123000000,1278478000000,914953000000,109188000000,JPY,441921000000,383205000000,226887000000,2508889000000,1063035000000,131699000000,143088000000,1445854000000
4237,"Sumitomo Pharma Co., Ltd.",Japan,Submitted,public," Benchmark, Continuity Climate Change, Japan, MSCI ACWI, TSE Prime Segment",44768.1290972222, Pharmaceuticals, Biotech & pharma," Biotech, health care & pharma",Pharmaceuticals,Biotech & pharma,"Biotech, health care & pharma",General,4506 JP, 4506 JP,4506.T,2022,396894708000,,-3498000000,555544000000,376625000000,-74512000000,JPY,143478000000,20174000000,144399000000,1134742000000,727960000000,134007000000,334716000000,406782000000
4238,Daio Paper Corporation,Japan,Submitted,public," Climate High Impact Sample, TSE Prime Segment",44768.0471180556," Logging, Paper products, Personal care & household products, Pulp & paper mills"," Chemicals, Logging & rubber tapping, Paper products & packaging, Wood & paper materials"," Food, beverage & agriculture, Manufacturing, Materials",Pulp & paper mills,Wood & paper materials,Materials,Paper & forestry,3880 JP, 3880 JP,3880.T,2022,168061615480,,29214000000,646213000000,110201000000,-34705000000,JPY,102638000000,-19471000000,40519000000,923531000000,678862000000,21048000000,481663000000,244669000000
4252,Daiwa Corporation,Japan,Submitted,public,,44735.160787037," Metals supply, wholesale & trading"," Trading, wholesale, distribution, rental & leasing", Retail,"Metals supply, wholesale & trading","Trading, wholesale, distribution, rental & leasing",Retail,General,,,unknown,2022,,,,,,,,,,,,,,,
4254,Daiwa Can Company,Japan,Submitted,public,,44762.4097222222, Metal containers & packaging, Metal products manufacturing, Manufacturing,Metal containers & packaging,Metal products manufacturing,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
4255,"Daito Trust Construction Co., Ltd.",Japan,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Japan, MSCI ACWI, TSE Prime Segment",44771.9521296296," Banks, Real estate owners & developers, Real estate services"," Financial services, Land & property ownership & development, Other services"," Infrastructure, Services",Real estate services,Other services,Services,General,1878 JP, 1878 JP,1878.T,2022,924480626680,,121741000000,1657625000000,258449000000,70361000000,JPY,267133000000,3999000000,115862000000,1061909000000,656978000000,55528000000,91873000000,404931000000
4256,"Daiwa House Industry Co., Ltd.",Japan,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Japan, MSCI ACWI, TSE Prime Segment",44770.2478819444," Building sub-contractors, Non-residential building construction, Real estate services, Residential building construction"," Construction, Other services"," Infrastructure, Services",Non-residential building construction,Construction,Infrastructure,Construction,1925 JP, 1925 JP,1925.T,2022,2002313086845,,587800000000,4908199000000,955195000000,308399000000,JPY,358086000000,3570000000,517030000000,6142067000000,3753156000000,218834000000,1952073000000,2388911000000
4260,"Daito Kasei Kogyo Co., Ltd.",Japan,Submitted,public,,44762.0970486111, Specialty chemicals, Chemicals, Materials,Specialty chemicals,Chemicals,Materials,Chemicals,,,unknown,2022,,,,,,,,,,,,,,,
4268,Daiwa Securities Group Inc.,Japan,Submitted,public," Benchmark, Continuity Climate Change, Japan, MSCI ACWI, TSE Prime Segment",44774.2910300926," Asset managers, Banks, Other professional services"," Financial services, Specialized professional services", Services,Asset managers,Financial services,Services,Financial services,8601 JP, 8601 JP,8601.T,2022,847622148054,,86957000000,606477000000,292207000000,63875000000,JPY,4408448000000,-541629000000,9336715000000,26413248000000,24737760000000,9336715000000,12980313000000,1675488000000
4287,Dana,United States of America,Submitted,public," Climate High Impact Sample, Continuity Climate Change, Environmental",44774.7658680556," Agriculture, construction & mining machinery, Electrical equipment, Engines & motors, Fabricated metal components, Other vehicle equipment & systems"," Electrical & electronic equipment, Metal products manufacturing, Powered machinery", Manufacturing,Fabricated metal components,Metal products manufacturing,Manufacturing,General,DAN US, DAN US,DAN,2022,2169642000,41800,675000000,10156000000,763000000,-315000000,USD,425000000,17000000,136000000,7449000000,5651000000,136000000,2721000000,1798000000
4289,Danaher Corporation,United States of America,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, FTSE All-World, Global 500, MSCI ACWI, S&P 500, United States of America",44771.8052314815," Medical equipment, Pollution control equipment"," Light manufacturing, Medical equipment & supplies"," Biotech, health care & pharma, Manufacturing",Medical equipment,Medical equipment & supplies,"Biotech, health care & pharma",General,DHR US, DHR US,DHR,2022,171488303000,,10725000000,31471000000,18949000000,7209000000,USD,5995000000,0,11000000,84350000000,34260000000,11000000,19677000000,50090000000
4291,DANFOSS,Denmark,Submitted,public, Fixed Income,44755.5443055556, Electrical equipment, Electrical & electronic equipment, Manufacturing,Electrical equipment,Electrical & electronic equipment,Manufacturing,Capital goods,,,unknown,2022,,,,,,,,,,,,,,,
4311,Danone,France,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, Euro, Food Value Chain - Climate, France, FTSE All-World, Global 500, MSCI ACWI",44764.5544907407," Dairy & egg products, Non-alcoholic beverages, Other food processing", Food & beverage processing," Food, beverage & agriculture",Dairy & egg products,Food & beverage processing,"Food, beverage & agriculture","Food, beverage & tobacco",BN FP, BN FP,BN.PA,2022,31487898443,,5078000000,27661000000,12739000000,959000000,EUR,1051000000,3631000000,-2257000000,45281000000,27289000000,1374000000,14164000000,17992000000
4312,Danske Bank A/S,Denmark,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Euro, Fixed Income, MSCI ACWI, Net Zero Asset Managers Initiative, Nordic",44749.487650463," Asset managers, Banks", Financial services, Services,Banks,Financial services,Services,Financial services,DANSKE DC, DANSKE DC,DANSKE.CO,2022,116973235046,,17931000000,44410000000,44410000000,-5154000000,DKK,198484000000,0,1008792000000,3762999000000,3602681000000,1008792000000,910823000000,160318000000
4315,DBS Group Holdings,Singapore,Submitted,public," Asia ex-JICK, Asia Pacific, Benchmark, Climate High Impact Sample, Continuity Climate Change, FTSE All-World, Global 500, MSCI ACWI",44775.3743634259," Banks, Other financial"," Financial services, Specialized professional services", Services,Banks,Financial services,Services,Financial services,DBS SP, DBS SP,DBS,2022,,0,,,,,DKK,,,,,,,,
4330,Dassault Systemes,France,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Euro, Fixed Income, France, FTSE All-World, Global 500, MSCI ACWI",44774.3625347222, Software, IT & software development, Services,Software,IT & software development,Services,General,DSY FP, DSY FP,DSY.PA,2022,44015778185,,1953800000,5665200000,4745900000,931500000,EUR,2769000000,0,71200000,14261100000,6936200000,71200000,3576700000,7324900000
4332,Darfon Electronics Corp,"Taiwan, China",Submitted,public,,44770.2721064815," Electronic components, Electronic equipment", Electrical & electronic equipment, Manufacturing,Electronic equipment,Electrical & electronic equipment,Manufacturing,General,8163 TT, 8163 TT,8163.TW,2022,10584000000,,3279404000,29535253000,5010659000,1162868000,TWD,3368030000,964203000,234175000,33637187000,19734466000,1198378000,10857508000,13902721000
4357,DaVita Inc.,United States of America,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, MSCI ACWI, S&P 500, United States of America",44767.7539930556, Health care facilities, Health care provision," Biotech, health care & pharma",Health care facilities,Health care provision,"Biotech, health care & pharma",General,DVA US, DVA US,DVA,2022,6729409740,0,2055899000,11609894000,3400341000,768191000,USD,244086000,77693000,275437000,16928252000,14703452000,353130000,11822490000,2224800000
4365,Deere & Company,United States of America,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, FTSE All-World, Global 500, MSCI ACWI, S&P 500, United States of America",44774.7097222222," Agriculture, construction & mining machinery, Banks"," Financial services, Powered machinery"," Manufacturing, Services","Agriculture, construction & mining machinery",Powered machinery,Manufacturing,Capital goods,DE US, DE US,DE,2022,127598976000,82200,12084000000,52577000000,17239000000,7131000000,USD,4774000000,734000000,117000000,90030000000,69673000000,851000000,51899000000,20357000000
4370,DCC PLC,Ireland,Submitted,public," Benchmark, Continuity Climate Change, Environmental, MSCI ACWI, UK",44760.3415856481," Dealers, wholesalers & distributors, Oil & gas marketing & retailing, Technology hardware wholesale & distribution"," Oil & gas retailing, Trading, wholesale, distribution, rental & leasing"," Fossil Fuels, Retail",Oil & gas marketing & retailing,Oil & gas retailing,Fossil Fuels,General,DCC LN, DCC LN,DCC.L,2022,4034279642,,890762000,22204846000,2404732000,334022000,GBP,1421749000,47032000,135932000,9840776000,6782466000,47789000,2601161000,3058310000
4377,De La Rue,United Kingdom of Great Britain and Northern Ireland,Submitted,public," Continuity Climate Change, UK",44770.5646643519, Printing services, Print & publishing services, Services,Printing services,Print & publishing services,Services,General,DLAR LN, DLAR LN,DLAR.L,2022,153418223,,48200000,349700000,91100000,-55900000,GBP,40300000,0,129900000,348600000,313600000,129900000,131699999,35000000
4402,Dechra Pharmaceuticals PLC,United Kingdom of Great Britain and Northern Ireland,Submitted,public," Continuity Climate Change, UK",44762.3902430556, Pharmaceuticals, Biotech & pharma," Biotech, health care & pharma",Pharmaceuticals,Biotech & pharma,"Biotech, health care & pharma",General,DPH LN, DPH LN,DPH.L,2022,2979224361,,98100000,761500000,426300000,-27900000,GBP,74400000,0,14900000,1569400000,814200000,14900000,504500000,755200000
4407,Aptiv,United Kingdom of Great Britain and Northern Ireland,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, FTSE All-World, Global 500, MSCI ACWI, S&P 500, United States of America",44774.6155902778," Electrical equipment, Fabricated metal components"," Electrical & electronic equipment, Metal products manufacturing", Manufacturing,Electrical equipment,Electrical & electronic equipment,Manufacturing,Capital goods,APTV US, APTV US,APTV,2022,25233573500,160000,2056000000,17489000000,2635000000,869000000,USD,1531000000,0,1723000000,21901000000,12790000000,1723000000,6852000000,9111000000
4408,Delta Air Lines,United States of America,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, FTSE All-World, MSCI ACWI, S&P 500, United States of America",44775.0244675926," Air freight, Passenger airlines", Air transport, Transportation services,Passenger airlines,Air transport,Transportation services,Transport services,DAL US, DAL US,DAL,2022,20964680000,95000,3722000000,50582000000,7815000000,1318000000,USD,3266000000,3268000000,2128000000,72275000000,65819000000,5396000000,30610000000,6456000000
4416,"Delta Electronics, Inc.","Taiwan, China",Submitted,public," Asia ex-JICK, Benchmark, Climate High Impact Sample, Continuity Climate Change, Emerging Markets, FTSE All-World, MSCI ACWI",44770.3910416667," Electronic components, Electronic equipment, Renewable energy construction, Transportation infrastructure & other construction"," Construction, Electrical & electronic equipment"," Infrastructure, Manufacturing",Electronic components,Electrical & electronic equipment,Manufacturing,General,2308 TT, 2308 TT,2308.TW,2022,744196069500,,65706437000,384443308000,110772563000,32665728000,TWD,61546836000,2024994000,2579616000,425873806000,200506621000,4604610000,48718245000,225367185000
4428,Del Monte Foods,United States of America,Submitted,public,,44753.8256712963, Other food processing, Food & beverage processing," Food, beverage & agriculture",Other food processing,Food & beverage processing,"Food, beverage & agriculture","Food, beverage & tobacco",DLM US, DLM US,DLM,2022,,,,,,,TWD,,,,,,,,
4528,Deloitte Touche Tohmatsu Limited,United States of America,Submitted,public, Self selected companies climate change,44771.8100578704, Other professional services, Specialized professional services, Services,Other professional services,Specialized professional services,Services,General,191738Z US, 191738Z US,191738Z,2022,,,,,,,TWD,,,,,,,,
4560,Denka Company Limited,Japan,Submitted,public," Climate High Impact Sample, Continuity Climate Change, Environmental, Japan, TSE Prime Segment",44767.9465509259," Basic plastics, Engineering services, Inorganic base chemicals, Other base chemicals, Plastic products"," Chemicals, Plastic product manufacturing, Specialized professional services"," Manufacturing, Materials, Services",Plastic products,Plastic product manufacturing,Manufacturing,General,4061 JP, 4061 JP,4061.T,2022,260844425050,,59308000000,407559000000,102342000000,12768000000,JPY,20199000000,-5468000000,63540000000,592151000000,291801000000,58072000000,169729000000,300350000000
4562,Dentsply Sirona Inc.,United States of America,Submitted,public," Benchmark, Continuity Climate Change, MSCI ACWI, S&P 500, United States of America",44770.6887037037, Medical equipment, Medical equipment & supplies," Biotech, health care & pharma",Medical equipment,Medical equipment & supplies,"Biotech, health care & pharma",General,XRAY US, XRAY US,XRAY,2022,6848784000,15000,634000000,3922000000,2127000000,-950000000,USD,365000000,24000000,25000000,7643000000,3831000000,25000000,2093000000,3813000000
4564,Dentsu Group Inc.,Japan,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Japan, MSCI ACWI, TSE Prime Segment",44774.2928125," Marketing, Other professional services, Real estate owners & developers"," Land & property ownership & development, Specialized professional services, Web & marketing services"," Infrastructure, Services",Marketing,Web & marketing services,Services,General,4324 JP, 4324 JP,4324.T,2022,1095668575000,,268595000000,1243883000000,1117002000000,59847000000,JPY,603740000000,18731000000,197170000000,3741427000000,2786100000000,215901000000,532429000000,955327000000
4566,Denso Corporation,Japan,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, FTSE All-World, Global 500, Japan, MSCI ACWI, TSE Prime Segment",44768.0785416667," Electrical equipment, Engines & motors, Fabricated metal components, Industrial machinery"," Electrical & electronic equipment, Metal products manufacturing, Powered machinery", Manufacturing,Electrical equipment,Electrical & electronic equipment,Manufacturing,Capital goods,6902 JP, 6902 JP,6902.T,2022,4910366080000,,835171000000,6401320000000,911144000000,314633000000,JPY,733850000000,33716000000,1919015000000,7408662000000,2828951000000,1809375000000,889274000000,4579711000000
4575,Derwent London,United Kingdom of Great Britain and Northern Ireland,Submitted,public," Continuity Climate Change, UK",44770.3674768519, REIT, Financial services, Services,REIT,Financial services,Services,Real estate,DLN LN, DLN LN,DLN.L,2022,2658650877,,164700000,249000000,192500000,-280500000,GBP,76600000,0,48900000,5509400000,1433900000,48900000,1284100000,4075500000
4627,Dexus,Australia,Submitted,public," Australia, Benchmark, Climate High Impact Sample, Continuity Climate Change, MSCI ACWI",44774.5124652778," Real estate services, REIT"," Financial services, Other services", Services,REIT,Financial services,Services,Real estate,DXS AU, DXS AU,DXS.AX,2022,8335630656,,471200000,863100000,494600000,1615900000,AUD,75300000,33100000,9538900000,19234600000,5667400000,9538900000,4942300000,13567200000
4630,DFDS A/S,Denmark,Submitted,public," Climate High Impact Sample, Continuity Climate Change, Nordic",44774.5144675926," Logistics - 3rd party, Logistics - transport, Marine freight"," Intermodal transport & logistics, Marine transport", Transportation services,Marine freight,Marine transport,Transportation services,Transport services,DFDS DC, DFDS DC,DFDS.CO,2022,14678912819,,2456000000,26872000000,4065000000,2010000000,DKK,1189000000,-314000000,327000000,34084000000,20948000000,13000000,15535000000,13136000000
4638,Desjardins Group,Canada,Submitted,public, Self selected companies climate change,44763.6683912037," Asset managers, Banks, Insurance, Other financial"," Financial services, Specialized professional services", Services,Asset managers,Financial services,Services,Financial services,5132650Z CN, 5132650Z CN,5132650Z.TO,2022,,,,,,,DKK,,,,,,,,
4652,Deutsche Börse AG,Germany,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, DACH, Euro, FTSE All-World, MSCI ACWI",44774.3153703704," Banks, Other financial"," Financial services, Specialized professional services", Services,Other financial,Specialized professional services,Services,General,DB1 GR," DB1 GR, DB11 GY",DB1,2022,,,,,,,DKK,,,,,,,,
4657,Deutsche Lufthansa AG,Germany,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, DACH, Environmental, MSCI ACWI",44834.3320833333," Air freight, Food & beverage amenities, Passenger airlines, Transportation support services"," Air transport, Bars, hotels & restaurants, Industrial support services"," Hospitality, Services, Transportation services",Passenger airlines,Air transport,Transportation services,Transport services,LHA GR, LHA GR,LHA.DE,2022,9300878310,,3727000000,32770000000,4617000000,791000000,EUR,1790000000,6511000000,-5846000000,43335000000,34861000000,665000000,15172000000,8474000000
4663,Deutsche Post DHL Group,Germany,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, DACH, Environmental, Euro, FTSE All-World, Global 500, MSCI ACWI",44772.5453240741," Logistics - 3rd party, Logistics - transport", Intermodal transport & logistics, Transportation services,Logistics - transport,Intermodal transport & logistics,Transportation services,Transport services,DPW GR, DPW GR,DPW.DE,2022,42353960797,,12476000000,94436000000,16550000000,5359000000,EUR,1834000000,1355000000,-63000000,68278000000,44575000000,1292000000,20224000000,23703000000
4667,Deutsche Telekom AG,Germany,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, DACH, Environmental, Euro, FTSE All-World, Global 500, MSCI ACWI",44770.8205324074," Other professional services, Telecommunications services"," Media, telecommunications & data center services, Specialized professional services", Services,Telecommunications services,"Media, telecommunications & data center services",Services,General,DTE GR, DTE GR,DTE.DE,2022,92876960000,,42712000000,113608000000,63561000000,8001000000,EUR,5611000000,5000000,2406000000,298590000000,211270000000,2411000000,147749000000,87320000000
4678,Devon Energy Corporation,United States of America,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, MSCI ACWI, S&P 500, United States of America",44776.8754050926," Natural gas extraction, Oil & gas extraction, Oil & gas marketing & retailing"," Oil & gas extraction & production, Oil & gas retailing", Fossil Fuels,Oil & gas extraction,Oil & gas extraction & production,Fossil Fuels,Oil & gas,DVN US, DVN US,DVN,2022,40166030000,1800,10289000000,19169000000,8369000000,6015000000,USD,1454000000,0,440000000,23721000000,12425000000,440000000,6697000000,11296000000
4702,Diageo Plc,United Kingdom of Great Britain and Northern Ireland,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, Euro, Food Value Chain - Climate, FTSE All-World, Global 500, MSCI ACWI, UK",44771.5656597222, Alcoholic beverages, Food & beverage processing," Food, beverage & agriculture",Alcoholic beverages,Food & beverage processing,"Food, beverage & agriculture","Food, beverage & tobacco",DGE LN, DGE LN,DGE.L,2022,83001000000,,5739000000,15452000000,9479000000,3940665631,GBP,2285000000,251000000,3783000000,36516000000,27002000000,4034000000,16020000000,9514000000
4706,DIC Asset AG,Germany,Submitted,public," Continuity Climate Change, DACH",44770.3847916667," Insurance, Real estate owners & developers, Real estate services, REIT"," Financial services, Land & property ownership & development, Other services"," Infrastructure, Services",Real estate owners & developers,Land & property ownership & development,Infrastructure,Real estate,DIC GR, DIC GR,DIC.DE,2022,605189955,,205011000,207225000,152540000,42858000,EUR,180483000,-13510000,197701000,5180270000,3516169000,184191000,3103429000,1664101000
4724,DIC Corporation,Japan,Submitted,public," Continuity Climate Change, Environmental, Japan, TSE Prime Segment",44768.218900463," Other base chemicals, Pharmaceuticals, Specialty chemicals"," Biotech & pharma, Chemicals"," Biotech, health care & pharma, Materials",Specialty chemicals,Chemicals,Materials,Chemicals,4631 JP, 4631 JP,4631.T,2022,220162368606,,93251000000,1054201000000,199222000000,17610000000,JPY,63380000000,820000000,63819000000,1261637000000,840549000000,63819000000,509329000000,421088000000
4730,Dignity,United Kingdom of Great Britain and Northern Ireland,Submitted,public," Continuity Climate Change, UK",44773.5616782407," Commercial services, Consumer services", Commercial & consumer services, Services,Consumer services,Commercial & consumer services,Services,General,DTY LN, DTY LN,DTY.L,2022,207500000,,-216700000,323100000,126800000,-275200000,GBP,7700000,0,0,1592300000,2014500000,0,80300000,-422200000
4787,Discovery Holdings Ltd,South Africa,Submitted,public," Benchmark, Continuity Climate Change, Emerging Markets, MSCI ACWI, South Africa",44774.5718865741," Asset managers, Health care services, Insurance"," Financial services, Other services", Services,Insurance,Financial services,Services,Financial services,DSY SJ, DSY SJ,DSY.JO,2022,81069901920,,7220000000,84771000000,84771000000,5327000000,ZAR,20370000000,15145000000,169425000000,301927000000,237953000000,169425000000,20586000000,63974000000
4810,DNO ASA,Norway,Submitted,public," Climate High Impact Sample, Continuity Climate Change",44761.8080671296," Natural gas extraction, Oil & gas extraction", Oil & gas extraction & production, Fossil Fuels,Oil & gas extraction,Oil & gas extraction & production,Fossil Fuels,Oil & gas,DNO NO, DNO NO,DNO.OL,2022,11519828300,,992000000,1377100000,916200000,384900000,USD,931800000,0,0,2803000000,1433600000,76100000,554900000,1369400000
4816,Distell Group Holdings,South Africa,Submitted,public," Continuity Climate Change, Food Value Chain - Climate, South Africa",44770.4646180556, Alcoholic beverages, Food & beverage processing," Food, beverage & agriculture",Alcoholic beverages,Food & beverage processing,"Food, beverage & agriculture","Food, beverage & tobacco",DGH SJ, DGH SJ,DGH.JO,2022,,,4574773000,34133552000,9083568000,2377124000,ZAR,3374182000,0,0,29389615000,13232219000,692779000,3710989000,16157396000
4822,Dover Corporation,United States of America,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, FTSE All-World, MSCI ACWI, S&P 500, United States of America",44775.1268171296," Electrical equipment, Energy services & equipment, Engines & motors, Heavy vehicles, Industrial machinery, Other vehicle equipment & systems"," Electrical & electronic equipment, Industrial support services, Powered machinery, Transportation equipment"," Manufacturing, Services",Industrial machinery,Powered machinery,Manufacturing,Capital goods,DOV US, DOV US,DOV,2022,19003845630,25000,1711499000,8508088000,3063556000,1065376000,USD,380868000,0,0,10896519000,6610153000,0,3678285000,4286366000
4826,The Dow Chemical Company,United States of America,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, FTSE All-World, Global 500, MSCI ACWI, S&P 500, United States of America",44769.8306481481," Biotechnology, Other base chemicals, Specialty chemicals"," Biotech & pharma, Chemicals"," Biotech, health care & pharma, Materials",Other base chemicals,Chemicals,Materials,Chemicals,DOW US, DOW US,DOW,2022,35736588000,37800,9628000000,56902000000,8564000000,4582000000,USD,3886000000,939000000,4382000000,60603000000,39356000000,4382000000,16706000000,21247000000
4829,DOMINGUES PAES EMPRESA DE SEGURANCA,Brazil,Submitted,public,,44743.7536574074, Commercial services, Commercial & consumer services, Services,Commercial services,Commercial & consumer services,Services,General,,,unknown,2022,,,,,,,,,,,,,,,
4832,Dominion Energy,United States of America,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, FTSE All-World, Global 500, MSCI ACWI, S&P 500, United States of America",44770.7632407407," CCGT generation, Electricity networks, Gas utilities, Oil & gas extraction"," Energy utility networks, Oil & gas extraction & production, Thermal power generation"," Fossil Fuels, Infrastructure, Power generation",Electricity networks,Energy utility networks,Infrastructure,Electric utilities,D US, D US,D,2022,51202200000,17200,4849000000,17174000000,5349000000,994000000,USD,153000000,605000000,9359000000,104243000000,76362000000,9359000000,45678000000,27881000000
4833,Domtar Corporation,United States of America,Submitted,public," Climate High Impact Sample, Continuity Climate Change",44763.9170717593," Personal care & household products, Pulp & paper mills"," Chemicals, Wood & paper materials", Materials,Pulp & paper mills,Wood & paper materials,Materials,Paper & forestry,UFS US, UFS US,UFS,2022,,,,,,,USD,,,,,,,,
4835,Domino's Pizza Group plc,United Kingdom of Great Britain and Northern Ireland,Submitted,public," Continuity Climate Change, Food Value Chain - Climate, UK",44770.3831597222, Fast food," Bars, hotels & restaurants", Hospitality,Fast food,"Bars, hotels & restaurants",Hospitality,General,DOM LN, DOM LN,DOM.L,2022,1250544558,,141600000,600300000,273500000,81600000,GBP,30400000,-189000000,225700000,520700000,633500000,36700000,507100000,-112800000
4836,Pan Pacific International Holdings Corporation,Japan,Submitted,public," Benchmark, Continuity Climate Change, Japan, MSCI ACWI, TSE Prime Segment",44771.3734027778," Real estate owners & developers, Software, Specialist retail, Supermarkets, food & drugstores"," Convenience retail, Discretionary retail, IT & software development, Land & property ownership & development"," Infrastructure, Retail, Services",Specialist retail,Discretionary retail,Retail,General,7532 JP, 7532 JP,7532.T,2022,1463019329508,,160957000000,1936783000000,600390000000,66167000000,JPY,242088000000,5357000000,130789000000,1481058000000,1017519000000,34643000000,612717000000,463539000000
4853,DONGGUAN PRIMAX ELECTRONIC & TELECOMMUNICATION PRODUCTS LTD,China,Submitted,public,,44741.3255324074, Electronic components, Electrical & electronic equipment, Manufacturing,Electronic components,Electrical & electronic equipment,Manufacturing,General,,,unknown,2022,,,,,,,,,,,,,,,
4855,Hyundai Doosan Infracore,Republic of Korea,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, Korea",44769.9712731481," Agriculture, construction & mining machinery, Engines & motors", Powered machinery, Manufacturing,"Agriculture, construction & mining machinery",Powered machinery,Manufacturing,Capital goods,042670 KS, 042670 KS,042670.KS,2022,1581588608000,,521249600950,4756113501670,1007621308160,229771426560,KRW,298374683980,61084000090,-23755555980,4736667586240,3101626628380,37328444110,1632465977990,1635040957860
4861,Doosan Enerbility,Republic of Korea,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Environmental, Korea, MSCI ACWI",44764.2025462963," Agriculture, construction & mining machinery, Dealers, wholesalers & distributors, Engines & motors, Fabricated metal components, Industrial machinery, Recreation & entertainment facilities, Transportation infrastructure & other construction, Utility line construction"," Construction, Entertainment facilities, Metal products manufacturing, Powered machinery, Trading, wholesale, distribution, rental & leasing"," Hospitality, Infrastructure, Manufacturing, Retail","Agriculture, construction & mining machinery",Powered machinery,Manufacturing,Capital goods,034020 KS, 034020 KS,034020.KS,2022,9828465647000,,1012273647800,15421058082380,2555877339900,-333476771420,KRW,1395837596350,129556280710,1030532165850,23049781799920,12969491516050,1160088446560,5383034435450,10080290283860
